DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,
tajo,4,72.68865061703418,Random Forest,Best first (backward),None,Learning,0.3108108108108108,0.6571428571428571,0.9093899407152419,0.3537725096877135,69.0,153.0,1092.0,36.0,
tajo,1,41.42961342086068,IBk,None,None,None,0.0,0.0,0.5540308747855918,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),None,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),None,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),Under,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),Under,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),Over,None,0.0,0.0,0.7092897239981288,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),Over,None,0.0,0.0,0.7092897239981288,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),Smote,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),Smote,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),None,Learning,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),None,Learning,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,2,57.148812005002085,IBk,None,None,None,0.45161290322580644,0.09929078014184398,0.5893121286990173,0.11924509442269493,14.0,17.0,870.0,127.0,
tajo,2,57.148812005002085,IBk,Best first (forward),None,None,0.35526315789473684,0.19148936170212766,0.7743409532490585,0.16901073178472964,27.0,49.0,838.0,114.0,
tajo,2,57.148812005002085,IBk,Best first (backward),None,None,0.35526315789473684,0.19148936170212766,0.7743409532490585,0.16901073178472964,27.0,49.0,838.0,114.0,
tajo,2,57.148812005002085,IBk,Best first (forward),Under,None,0.3798449612403101,0.3475177304964539,0.7955455875650651,0.26687729598394594,49.0,80.0,807.0,92.0,
tajo,2,57.148812005002085,IBk,Best first (backward),Under,None,0.3798449612403101,0.3475177304964539,0.7955455875650651,0.26687729598394594,49.0,80.0,807.0,92.0,
tajo,2,57.148812005002085,IBk,Best first (forward),Over,None,0.37209302325581395,0.22695035460992907,0.782440611832058,0.1986571275537533,32.0,54.0,833.0,109.0,
tajo,2,57.148812005002085,IBk,Best first (backward),Over,None,0.37209302325581395,0.22695035460992907,0.782440611832058,0.1986571275537533,32.0,54.0,833.0,109.0,
tajo,2,57.148812005002085,IBk,Best first (forward),Smote,None,0.3614457831325301,0.2127659574468085,0.7759640832513772,0.18501832103874005,30.0,53.0,834.0,111.0,
tajo,2,57.148812005002085,IBk,Best first (backward),Smote,None,0.3614457831325301,0.2127659574468085,0.7759640832513772,0.18501832103874005,30.0,53.0,834.0,111.0,
tajo,2,57.148812005002085,IBk,Best first (forward),None,Learning,0.36363636363636365,0.19858156028368795,0.7743409532490585,0.1771530213943377,28.0,49.0,838.0,113.0,
tajo,2,57.148812005002085,IBk,Best first (backward),None,Learning,0.36363636363636365,0.19858156028368795,0.7743409532490585,0.1771530213943377,28.0,49.0,838.0,113.0,
tajo,3,66.76871694962426,IBk,None,None,None,0.5363636363636364,0.49166666666666664,0.8226683736809435,0.46125211505922165,59.0,51.0,1023.0,61.0,
tajo,3,66.76871694962426,IBk,Best first (forward),None,None,0.5267857142857143,0.49166666666666664,0.881405183116077,0.45581462291306885,59.0,53.0,1021.0,61.0,
tajo,3,66.76871694962426,IBk,Best first (backward),None,None,0.5267857142857143,0.49166666666666664,0.881405183116077,0.45581462291306885,59.0,53.0,1021.0,61.0,
